UTC Timestamp,EEG Signal A3 (uV),EEG Signal A4 (uV)
2025-01-20 10:05:30.801187,390,0
2025-01-20 10:05:30.811187,419,0
2025-01-20 10:05:30.821187,411,0
2025-01-20 10:05:30.831187,481,1
2025-01-20 10:05:30.841187,363,0
2025-01-20 10:05:30.851187,499,1
2025-01-20 10:05:30.861187,383,0
2025-01-20 10:05:30.871187,580,1
2025-01-20 10:05:30.881187,486,1
2025-01-20 10:05:30.891187,587,1
2025-01-20 10:05:30.901187,478,1
2025-01-20 10:05:30.911187,562,1
2025-01-20 10:05:30.921187,396,0
2025-01-20 10:05:30.931187,722,2
2025-01-20 10:05:30.941187,655,2
2025-01-20 10:05:30.951187,853,4
2025-01-20 10:05:30.961187,712,2
2025-01-20 10:05:30.971187,742,3
2025-01-20 10:05:30.981187,570,1
2025-01-20 10:05:30.991187,674,2
2025-01-20 10:05:31.001187,607,2
2025-01-20 10:05:31.011187,709,2
2025-01-20 10:05:31.021187,608,2
2025-01-20 10:05:31.031187,695,2
2025-01-20 10:05:31.041187,494,1
2025-01-20 10:05:31.051187,531,1
2025-01-20 10:05:31.061187,349,0
2025-01-20 10:05:31.071187,543,1
2025-01-20 10:05:31.081187,281,0
2025-01-20 10:05:31.091187,466,1
2025-01-20 10:05:31.101187,340,0
2025-01-20 10:05:31.111187,444,0
2025-01-20 10:05:31.121187,349,0
2025-01-20 10:05:31.131187,490,1
2025-01-20 10:05:31.141187,392,0
2025-01-20 10:05:31.151187,464,1
2025-01-20 10:05:31.161187,343,0
2025-01-20 10:05:31.171187,496,1
2025-01-20 10:05:31.181187,444,1
2025-01-20 10:05:31.191187,497,1
2025-01-20 10:05:31.201187,388,0
2025-01-20 10:05:31.211187,546,1
2025-01-20 10:05:31.221187,468,1
2025-01-20 10:05:31.231187,627,2
2025-01-20 10:05:31.241187,515,1
2025-01-20 10:05:31.251187,620,2
2025-01-20 10:05:31.261187,497,1
2025-01-20 10:05:31.271187,571,1
2025-01-20 10:05:31.281187,307,0
2025-01-20 10:05:31.291187,670,2
2025-01-20 10:05:31.301187,612,2
2025-01-20 10:05:31.311187,795,3
2025-01-20 10:05:31.321187,661,2
2025-01-20 10:05:31.331187,713,2
2025-01-20 10:05:31.341187,545,1
2025-01-20 10:05:31.351187,618,2
2025-01-20 10:05:31.361187,546,1
2025-01-20 10:05:31.371187,709,2
2025-01-20 10:05:31.381187,496,1
2025-01-20 10:05:31.391187,639,2
2025-01-20 10:05:31.401187,468,1
2025-01-20 10:05:31.411187,600,2
2025-01-20 10:05:31.421187,444,1
2025-01-20 10:05:31.431187,562,1
2025-01-20 10:05:31.441187,425,0
2025-01-20 10:05:31.451187,451,0
2025-01-20 10:05:31.461187,404,0
2025-01-20 10:05:31.471187,546,1
2025-01-20 10:05:31.481187,474,1
2025-01-20 10:05:31.491187,582,1
2025-01-20 10:05:31.501187,410,0
2025-01-20 10:05:31.511187,537,1
2025-01-20 10:05:31.521187,440,1
2025-01-20 10:05:31.531187,571,1
2025-01-20 10:05:31.541187,477,1
2025-01-20 10:05:31.551187,670,2
2025-01-20 10:05:31.561187,547,1
2025-01-20 10:05:31.571187,632,2
2025-01-20 10:05:31.581187,521,1
2025-01-20 10:05:31.591187,681,2
2025-01-20 10:05:31.601187,568,1
2025-01-20 10:05:31.611187,694,2
2025-01-20 10:05:31.621187,524,1
2025-01-20 10:05:31.631187,664,2
2025-01-20 10:05:31.641187,174,0
2025-01-20 10:05:31.651187,204,0
2025-01-20 10:05:31.661187,62,0
2025-01-20 10:05:31.671187,322,0
2025-01-20 10:05:31.681187,263,0
2025-01-20 10:05:31.691187,432,1
